"","LPI_final","CI_low","CI_high","sim","label","trend_type","years"
"43783",0.999999950923102,0.889185114601468,1.10852178380146,9,"60%","Concave Decrease",1956
"43784",1.00608102166422,0.894102847470901,1.1213445530125,9,"60%","Concave Decrease",1957
"43785",1.01927683294135,0.897901112286362,1.14023510811237,9,"60%","Concave Decrease",1958
"43786",1.06568081142414,0.939925977119218,1.20020619210854,9,"60%","Concave Decrease",1959
"43787",1.10597048060719,0.967559373924846,1.25662614073273,9,"60%","Concave Decrease",1960
"43788",1.12458325873182,0.977853594512914,1.2904567468445,9,"60%","Concave Decrease",1961
"43789",1.10468722743227,0.963809868326358,1.26094757714672,9,"60%","Concave Decrease",1962
"43790",1.085202487862,0.945930913996982,1.241220270493,9,"60%","Concave Decrease",1963
"43791",1.07120097526024,0.925596163735266,1.22459646206156,9,"60%","Concave Decrease",1964
"43792",1.07454732359864,0.928336459043331,1.23072949548307,9,"60%","Concave Decrease",1965
"43793",1.06191171751408,0.920271023634547,1.21661364671171,9,"60%","Concave Decrease",1966
"43794",1.06019692105661,0.917151452645274,1.21642360693814,9,"60%","Concave Decrease",1967
"43795",1.07165176134472,0.92614487038498,1.22858650457938,9,"60%","Concave Decrease",1968
"43796",1.09323144578532,0.945274427763643,1.26213684587483,9,"60%","Concave Decrease",1969
"43797",1.10627520094332,0.950326545897403,1.27598746474714,9,"60%","Concave Decrease",1970
"43798",1.08149375808817,0.911278150108816,1.2719474818899,9,"60%","Concave Decrease",1971
"43799",1.08879641867787,0.906518282715728,1.28609953745953,9,"60%","Concave Decrease",1972
"43800",1.08168850061664,0.900397304867741,1.2815338716589,9,"60%","Concave Decrease",1973
"43801",1.06834146082643,0.892517520520146,1.27323674894146,9,"60%","Concave Decrease",1974
"43802",1.06675237567282,0.885723899392454,1.28363942962042,9,"60%","Concave Decrease",1975
"43803",1.05342461938263,0.869949416937786,1.26107864745778,9,"60%","Concave Decrease",1976
"43804",1.05624321384031,0.875389272638682,1.26371819016299,9,"60%","Concave Decrease",1977
"43805",1.04928542955041,0.868127937579898,1.25866271372121,9,"60%","Concave Decrease",1978
"43806",1.03832377778526,0.85828369766191,1.25064753536548,9,"60%","Concave Decrease",1979
"43807",1.02902403852235,0.844531902823198,1.2450479491218,9,"60%","Concave Decrease",1980
"43808",1.04099084526089,0.851711068206093,1.26508224347022,9,"60%","Concave Decrease",1981
"43809",1.02303980750099,0.839742012399328,1.2385378062419,9,"60%","Concave Decrease",1982
"43810",0.996133283846521,0.810159134221332,1.21816468110889,9,"60%","Concave Decrease",1983
"43811",1.00279349183649,0.815344240583381,1.22463754615215,9,"60%","Concave Decrease",1984
"43812",1.02029800425191,0.828661176567412,1.24958799658942,9,"60%","Concave Decrease",1985
"43813",1.01256770523605,0.827342934246745,1.23497749259013,9,"60%","Concave Decrease",1986
"43814",1.02497823844081,0.834808537479638,1.25940714227888,9,"60%","Concave Decrease",1987
"43815",1.01704421738304,0.831355790055269,1.24275990337622,9,"60%","Concave Decrease",1988
"43816",0.988539902519363,0.808502134122118,1.22300790648362,9,"60%","Concave Decrease",1989
"43817",0.960627008730013,0.787061885180985,1.18706403068992,9,"60%","Concave Decrease",1990
"43818",0.968045431736324,0.790741062881522,1.20049002013685,9,"60%","Concave Decrease",1991
"43819",0.971881780869531,0.785894485531262,1.20709530326632,9,"60%","Concave Decrease",1992
"43820",1.00099577162146,0.81344237052503,1.24647484932468,9,"60%","Concave Decrease",1993
"43821",1.02095292113885,0.823878144610069,1.28140085951199,9,"60%","Concave Decrease",1994
"43822",1.00472222160162,0.80581208043811,1.26001995197351,9,"60%","Concave Decrease",1995
"43823",0.978784016805767,0.787050847005443,1.22782784932557,9,"60%","Concave Decrease",1996
"43824",0.950040728387559,0.762274193344114,1.19116779177758,9,"60%","Concave Decrease",1997
"43825",0.922288584335455,0.741709436632915,1.15815229724071,9,"60%","Concave Decrease",1998
"43826",0.908960798810466,0.729437113541363,1.14221449192257,9,"60%","Concave Decrease",1999
"43827",0.909223536525647,0.733105193351369,1.14591457978575,9,"60%","Concave Decrease",2000
"43828",0.897780194540325,0.722930006165458,1.12595659788613,9,"60%","Concave Decrease",2001
"43829",0.888399518510464,0.716020148959015,1.11774167532398,9,"60%","Concave Decrease",2002
"43830",0.878868752844434,0.700817368041676,1.11435990664021,9,"60%","Concave Decrease",2003
"43831",0.870841750497652,0.694940183042891,1.1206165192157,9,"60%","Concave Decrease",2004
"43832",0.834032418428001,0.665458016850699,1.07582112459251,9,"60%","Concave Decrease",2005
"43833",0.8056431417246,0.640416149609687,1.04544344582561,9,"60%","Concave Decrease",2006
"43834",0.774455913757469,0.614225378370888,1.00983619731467,9,"60%","Concave Decrease",2007
"43835",0.764106906880571,0.605988649739943,0.993905448202744,9,"60%","Concave Decrease",2008
"43836",0.757935920023031,0.598076674615986,0.983150640994461,9,"60%","Concave Decrease",2009
"43837",0.744228472239824,0.587974051776905,0.965132004857043,9,"60%","Concave Decrease",2010
"43838",0.716042884121326,0.56690286531208,0.926561519203841,9,"60%","Concave Decrease",2011
"43839",0.687519975053512,0.542667286371255,0.892842135430877,9,"60%","Concave Decrease",2012
"43840",0.659494968000681,0.518219487447434,0.847624378939978,9,"60%","Concave Decrease",2013
"43841",0.62788507258052,0.494212159565679,0.815605900513585,9,"60%","Concave Decrease",2014
"43842",0.584556297231062,0.459343347321503,0.75969202438654,9,"60%","Concave Decrease",2015
"43843",0.534330978162012,0.418180123106507,0.695258300849855,9,"60%","Concave Decrease",2016
"43844",0.487183302381919,0.380770740826871,0.636458026479384,9,"60%","Concave Decrease",2017
"43845",0.466735907690355,0.363716688946962,0.612519023896273,9,"60%","Concave Decrease",2018
"43846",0.431644301368512,0.336949401395535,0.570395493077143,9,"60%","Concave Decrease",2019
"43847",0.403387781446266,0.310665406729761,0.533236040548943,9,"60%","Concave Decrease",2020
"43848",0.403387781446266,0.310665406729761,0.533236040548943,9,"60%","Concave Decrease",2021
"43849",1,1,1,10,"60%","Concave Decrease",1950
"43850",0.945254323771289,0.835644032367068,1.0104668204971,10,"60%","Concave Decrease",1951
"43851",0.928909857844583,0.800324120515094,1.03358559249442,10,"60%","Concave Decrease",1952
"43852",0.953498424052234,0.82428998267363,1.07261745702186,10,"60%","Concave Decrease",1953
"43853",0.963522635499842,0.830452272220115,1.08779209569531,10,"60%","Concave Decrease",1954
"43854",0.973319501477448,0.837771404954953,1.10422663357751,10,"60%","Concave Decrease",1955
"43855",0.991838706827311,0.849713769551801,1.12703700905111,10,"60%","Concave Decrease",1956
"43856",0.991103238897319,0.846114476111024,1.12617362105435,10,"60%","Concave Decrease",1957
"43857",0.998355928815904,0.851981686478908,1.13682110395431,10,"60%","Concave Decrease",1958
"43858",1.0034023794537,0.854250069790596,1.14446901588278,10,"60%","Concave Decrease",1959
"43859",1.00918124869804,0.863139648368676,1.15159324974936,10,"60%","Concave Decrease",1960
"43860",1.04205976024654,0.881480130061354,1.19245935144334,10,"60%","Concave Decrease",1961
"43861",1.0403210259773,0.879882856310726,1.1893297089414,10,"60%","Concave Decrease",1962
"43862",1.03866676623265,0.879851707153593,1.18777480900386,10,"60%","Concave Decrease",1963
"43863",1.0401074984991,0.882136395951256,1.19287373186959,10,"60%","Concave Decrease",1964
"43864",1.03596884871786,0.876420616937502,1.20024442418772,10,"60%","Concave Decrease",1965
"43865",1.0173192666035,0.855283069207918,1.17485231183027,10,"60%","Concave Decrease",1966
"43866",1.00229715419207,0.840886667153711,1.16462034273453,10,"60%","Concave Decrease",1967
"43867",0.984365197384286,0.823819086015273,1.14223613367429,10,"60%","Concave Decrease",1968
"43868",1.00475073914279,0.838853809641709,1.1753781657625,10,"60%","Concave Decrease",1969
"43869",1.02779266187793,0.860462795523982,1.19460685324525,10,"60%","Concave Decrease",1970
"43870",1.04747350431363,0.8739047993521,1.22728602520697,10,"60%","Concave Decrease",1971
"43871",1.03917963444308,0.870137867320683,1.21644271405004,10,"60%","Concave Decrease",1972
"43872",1.01314617903984,0.84672316330506,1.19225894997761,10,"60%","Concave Decrease",1973
