"","LPI_final","CI_low","CI_high","years","label","sim"
"120",0.58916206362942,0.587131210491923,0.591080163095562,1998,"linear",1
"121",0.580634759775954,0.578670110251856,0.58259279301799,1999,"linear",1
"122",0.572082208011429,0.570186760037143,0.574016346830175,2000,"linear",1
"123",0.563641937325985,0.561675216063971,0.565595688969451,2001,"linear",1
"124",0.555248719706328,0.553313751193523,0.557196216490048,2002,"linear",1
"125",0.546621232096487,0.54472368230252,0.548548006513688,2003,"linear",1
"126",0.537988493052303,0.536108493330129,0.539959883994668,2004,"linear",1
"127",0.529438432912258,0.527619527563514,0.531301043702188,2005,"linear",1
"128",0.520933372536078,0.519161295169929,0.522819787673052,2006,"linear",1
"129",0.51249214625467,0.510690604810209,0.514322068839289,2007,"linear",1
"130",0.504105212443259,0.502320142890299,0.50588045688961,2008,"linear",1
"131",0.495626442991327,0.493831585335654,0.497388507931347,2009,"linear",1
"132",0.486900706691583,0.485150224900724,0.488660187402397,2010,"linear",1
"133",0.478263647900288,0.476498679759767,0.480010879032229,2011,"linear",1
"134",0.469529259790302,0.467749800785728,0.471260414658957,2012,"linear",1
"135",0.460892855767608,0.459142005365539,0.462631434263235,2013,"linear",1
"136",0.452296890936298,0.45059462099302,0.454043320600148,2014,"linear",1
"137",0.443552744292885,0.441837265308876,0.445210860767045,2015,"linear",1
"138",0.43493097939287,0.433259867753399,0.436604040995139,2016,"linear",1
"139",0.42633405642252,0.424645707407928,0.427953274382836,2017,"linear",1
"140",0.417819049559243,0.416166584625122,0.419406642510617,2018,"linear",1
"141",0.409365488625378,0.407706591793616,0.410962329606486,2019,"linear",1
"142",0.401030206893379,0.39938276044142,0.402598351281457,2020,"linear",1
"143",1,1,1,1950,"convex",1
"144",1.00025045532402,0.999581724150363,1.00084560989751,1951,"convex",1
"145",1.00070457625821,0.999889824357659,1.00147573286056,1952,"convex",1
"146",1.0011527201589,1.00025818007151,1.0020314562717,1953,"convex",1
