"","LPI_final","CI_low","CI_high","years","numZeros","sim","label"
"15929",1.1798037043806,1.00947805156849,1.36255912715098,1974,37,225,"Permutations"
"15930",1.16998706692388,1.00256504255525,1.35783992653031,1975,49,225,"Permutations"
"15931",1.1793766569785,1.00814222065172,1.36904782845036,1976,46,225,"Permutations"
"15932",1.16983362026004,0.997897761887335,1.35131673141942,1977,42,225,"Permutations"
"15933",1.17501939136564,1.00205561363124,1.34905065640931,1978,53,225,"Permutations"
"15934",1.17469607917193,0.997085910039296,1.35302195628525,1979,57,225,"Permutations"
"15935",1.18165165670789,1.00398740249314,1.35334427018211,1980,52,225,"Permutations"
"15936",1.18546072030832,1.01410673114293,1.35407301802157,1981,285,225,"Permutations"
"15937",1.18566357728929,1.01255912323179,1.35932188221237,1982,307,225,"Permutations"
"15938",1.19876918266849,1.02987245176273,1.36455145273232,1983,315,225,"Permutations"
"15939",1.19292396891419,1.02734465756409,1.36423283442189,1984,364,225,"Permutations"
"15940",1.19186102133986,1.03116334149504,1.361906100629,1985,403,225,"Permutations"
"15941",1.19945544338022,1.03687483076932,1.37982776911322,1986,259,225,"Permutations"
"15942",1.20490546630196,1.04213299694849,1.39163472579866,1987,286,225,"Permutations"
"15943",1.19948958149569,1.04736788499244,1.3955873452187,1988,330,225,"Permutations"
"15944",1.20927075083991,1.05896292490749,1.40880269565884,1989,295,225,"Permutations"
"15945",1.20817417930746,1.05994180015872,1.40133330200505,1990,307,225,"Permutations"
"15946",1.21606125311782,1.06460056970259,1.41713516147159,1991,343,225,"Permutations"
"15947",1.20976638107438,1.05738412863678,1.40346860522523,1992,503,225,"Permutations"
"15948",1.21987059237814,1.066138561858,1.41752815496561,1993,594,225,"Permutations"
"15949",1.21249653385541,1.05849810586629,1.40100034639859,1994,694,225,"Permutations"
"15950",1.22401498918441,1.07293299346801,1.42239191720241,1995,960,225,"Permutations"
"15951",1.2202836311192,1.0760955771734,1.42278974816573,1996,986,225,"Permutations"
"15952",1.23195157706875,1.08467112083677,1.42793745363467,1997,1159,225,"Permutations"
"15953",1.23981821779867,1.09532701692289,1.43109535365683,1998,1288,225,"Permutations"
"15954",1.24135291986511,1.09936927247812,1.44047806584508,1999,1332,225,"Permutations"
"15955",1.24854797729094,1.10822586899012,1.45745309981705,2000,1362,225,"Permutations"
"15956",1.25906172624487,1.11597827408709,1.46884475530684,2001,1420,225,"Permutations"
"15957",1.26094055244877,1.11460379109078,1.47483385176458,2002,1490,225,"Permutations"
"15958",1.25974557350987,1.11842189761991,1.4640338953198,2003,1445,225,"Permutations"
"15959",1.25429351540373,1.10889260435949,1.45320101900542,2004,1322,225,"Permutations"
"15960",1.25208907955259,1.10736246999527,1.44326999936046,2005,1423,225,"Permutations"
"15961",1.22990075412772,1.08361233075314,1.41063804803293,2006,1543,225,"Permutations"
"15962",1.23549813373002,1.08449190115471,1.42254515151172,2007,1595,225,"Permutations"
"15963",1.24470539899702,1.09482334078488,1.43370293923505,2008,1640,225,"Permutations"
"15964",1.25115302517957,1.09763881627199,1.45555449354344,2009,1954,225,"Permutations"
"15965",1.24635503156421,1.09885359517075,1.44055491125931,2010,3195,225,"Permutations"
"15966",1.23298027887891,1.08176856235995,1.44012095879943,2011,3272,225,"Permutations"
"15967",1.21213574914227,1.06668358718038,1.41281146671036,2012,3202,225,"Permutations"
"15968",1.22166962253108,1.07184417403032,1.40162537355665,2013,3235,225,"Permutations"
"15969",1.21374076644573,1.04676983312294,1.40035365309394,2014,3272,225,"Permutations"
"15970",1.23489038711077,1.06045742610213,1.41971921404575,2015,3250,225,"Permutations"
"15971",1.22788755682355,1.05432175508115,1.40820622745443,2016,3221,225,"Permutations"
"15972",1.23573847876995,1.05759859380071,1.42030497073733,2017,2834,225,"Permutations"
"15973",1.24636089235009,1.05383016660044,1.42106487589677,2018,3050,225,"Permutations"
"15974",1.27571073908044,1.06729145771178,1.46223367287039,2019,2641,225,"Permutations"
"15975",1.27571073908044,1.06729145771178,1.46223367287039,2020,2167,225,"Permutations"
"15976",1,1,1,1950,9,226,"Permutations"
"15977",0.953901602744822,0.8749724505454,0.992788422891096,1951,10,226,"Permutations"
"15978",1.00103907555794,0.903970254408116,1.03795657238697,1952,9,226,"Permutations"
"15979",1.00392659872992,0.906981641342097,1.04227234218342,1953,10,226,"Permutations"
"15980",0.958770767411836,0.840464428871945,0.995522480428598,1954,14,226,"Permutations"
"15981",1.02137757001934,0.907070322821117,1.09089027425104,1955,10,226,"Permutations"
"15982",1.04255266275843,0.923250179189492,1.11998435939478,1956,13,226,"Permutations"
"15983",1.01751480096963,0.885148769672202,1.08124752143491,1957,8,226,"Permutations"
"15984",1.05411744763357,0.916149638163783,1.1227242917731,1958,10,226,"Permutations"
"15985",1.01624651065083,0.893907827659468,1.07779969827987,1959,11,226,"Permutations"
"15986",1.06984193589474,0.981451710660479,1.10545974105705,1960,7,226,"Permutations"
"15987",1.04933583198363,0.951999786685459,1.0908486361584,1961,12,226,"Permutations"
"15988",1.03136070467066,0.932120491623938,1.07599231479672,1962,15,226,"Permutations"
"15989",0.99256772241691,0.925911827654503,1.04570422547905,1963,16,226,"Permutations"
"15990",1.0268118183843,0.968529252659044,1.10996395733598,1964,14,226,"Permutations"
"15991",1.02315646244924,0.96245155087374,1.0982585490038,1965,14,226,"Permutations"
"15992",1.01718730424296,0.935385842603486,1.09228058915551,1966,15,226,"Permutations"
"15993",1.01927485717408,0.919947759879002,1.0970876712487,1967,20,226,"Permutations"
"15994",1.02781657506151,0.92035125959963,1.10082295129742,1968,16,226,"Permutations"
